PREVIOUS,CURRENT
toujours par oublier,le
par oublier le,sucre
le sucre,dans le
sucre dans le,gâteau
la pâte sous la tarte,le
sous la tarte le,lait
le lait,sur le
lait sur le,feu
sur le feu,J’ai
feu J’ai,trouvé
J’ai trouvé,des maris
trouvé des maris,bons
des maris bons,cuisiniers
bons cuisiniers,et Deliveroo
cuisiniers et Deliveroo,est
mon meilleur,ami
meilleur ami,Et
ami Et,puis
Et puis,d’un
puis d’un,coup
d’un coup,je
coup je,m’y
je m’y,suis
m’y suis,mise
suis mise,En
mise En,deux
En deux,semaines
deux semaines,j’ai
semaines j’ai,fait
j’ai fait,un
fait un,gâteau
un gâteau,au chocolat
un poulet,tikka
poulet tikka,massala
tikka massala,un
massala un,soufflé
un soufflé,au fromage
soufflé au fromage,et un
au fromage et un,gratin
et un gratin,de pâtes
gratin de pâtes,Et
de pâtes Et,c’était
Et c’était,mangeable
J’ose même,dire
même dire,que
dire que,parfois
que parfois,c’était
parfois c’était,bon
c’était bon,Dingue
La blague,de confinement
blague de confinement,qui
de confinement qui,fait
qui fait,plaisir
fait plaisir,:
Dans,une
Dans une,boulangerie
Le client,:
client,Bonjour
Bonjour,je
Bonjour je,voudrais
je voudrais,un
voudrais un,sandwich
un sandwich,au dinosaure
sandwich au dinosaure,s’il
au dinosaure s’il,vous
s’il vous,plaît
Le vendeur,:
vendeur,Je
Je,suis
Je suis,désolé
suis désolé,mais
désolé mais,cela
mais cela,ne
cela ne,va
ne va,pas
va pas,être
pas être,possible
Le client,étonné
client étonné,:
étonné,Ah
Ah,bon
Ah bon,et pourquoi
bon et pourquoi,ça
et pourquoi ça,?”
Le vendeur,:
vendeur,On
On,n’a
On n’a,plus
n’a plus,de pain
plus de pain,»
Conseils de chef,et de sociologue
Pour répondre,à vos
répondre à vos,interrogations
à vos interrogations,sur l’alimentation
interrogations sur l’alimentation,en temps
sur l’alimentation en temps,de confinement
en temps de confinement,deux
de confinement deux,experts
deux experts,ont
experts ont,participé
ont participé,par tchat
participé par tchat,à cette
par tchat à cette,journée
à cette journée,La
journée La,chef
La chef,cuisinière
chef cuisinière,Chloé
cuisinière Chloé,Charles
Chloé Charles,a
Charles a,multiplié
a multiplié,les
multiplié les,conseils
les conseils,culinaires
conseils culinaires,à destination
culinaires à destination,des gourmands
à destination des gourmands,des inquiets
des gourmands des inquiets,des curieux
des inquiets des curieux,Le
des curieux Le,sociologue
Le sociologue,JeanPierre
sociologue JeanPierre,Poulain
JeanPierre Poulain,spécialiste
Poulain spécialiste,des pratiques
spécialiste des pratiques,et cultures
des pratiques et cultures,alimentaires
et cultures alimentaires,a
alimentaires a,quant à lui
a quant à lui,expliqué
quant à lui expliqué,pourquoi
expliqué pourquoi,en temps
pourquoi en temps,de confinement
en temps de confinement,«
de confinement,l’alimentation
l’alimentation,prend
l’alimentation prend,une
prend une,place
une place,bien
place bien,plus
bien plus,importante
plus importante,que
importante que,dans la vie
que dans la vie,normale
dans la vie normale,».
Trois recettes,antigaspi
Salade de fanes,aux agrumes
Salade de fanes,aux agrumes
Sonia Ezgulian,cuisinière
Ezgulian cuisinière,et autrice
cuisinière et autrice,de livres
et autrice de livres,de cuisine
de livres de cuisine,a
de cuisine a,proposé
a proposé,trois
proposé trois,recettes
trois recettes,antigaspi
recettes antigaspi,pour que
antigaspi pour que,la botte
pour que la botte,de carottes
la botte de carottes,soit
de carottes soit,utilisée
soit utilisée,dans son
utilisée dans son,intégralité
Carottes rôties,entières
rôties entières,pour 4
entières pour 4,personnes
Salade de fanes,aux agrumes
de fanes aux agrumes,pour 4
aux agrumes pour 4,personnes
Chutney de pelures,de carottes
de pelures de carottes,pour un
de carottes pour un,bocal
Et parce,qu’il
parce qu’il,n’y
qu’il n’y,a
n’y a,pas
a pas,que
pas que,la bonne
que la bonne,chère
la bonne chère,dans la vie
Bonne nouvelle,!
On peut,se
peut se,dandiner
se dandiner,«
dandiner,utile
utile,».
utile,Sur
Sur,Instagram
Sur Instagram,le
Instagram le,DJ
le DJ,et chanteur
DJ et chanteur,Yuksek
et chanteur Yuksek,figure
Yuksek figure,de l’électro
figure de l’électro,française
de l’électro française,propose
française propose,de réaliser
propose de réaliser,un
de réaliser un,clip
un clip,à partir
clip à partir,des vidéos
à partir des vidéos,envoyées
des vidéos envoyées,par des personnes
envoyées par des personnes,confinées
par des personnes confinées,dansant
confinées dansant,sur le
dansant sur le,titre
sur le titre,The
titre The,Only
The Only,Reason
Only Reason,Les
Reason Les,droits
Les droits,du
droits du,clip
du clip,seront
clip seront,intégralement
seront intégralement,reversés
intégralement reversés,au Secours
reversés au Secours,populaire
au Secours populaire,qui
populaire qui,tente
qui tente,de maintenir
tente de maintenir,ses
de maintenir ses,activités
ses activités,à l’égard
activités à l’égard,des plus
à l’égard des plus,démunis
des plus démunis,malgré la crise
démunis malgré la crise,L’adresse
malgré la crise L’adresse,pour envoyer
L’adresse pour envoyer,sa
pour envoyer sa,vidéo
sa vidéo,:
vidéo,clipensemble2020gmailcom
L’initiative solidaire,du
solidaire du,jour
L’affiche Restez,à la maison
Restez à la maison,monétisée
à la maison monétisée,au profit
monétisée au profit,des soignants
Elle n’a,pas
n’a pas,pu
pas pu,vous
pu vous,échapper
vous échapper,:
échapper,depuis le
depuis le,début
depuis le début,du
début du,confinement
cette affiche,réalisée
affiche réalisée,par l’illustrateur
réalisée par l’illustrateur,Mathieu
par l’illustrateur Mathieu,Persan
a fait,le
fait le,tour
le tour,des réseaux
tour des réseaux,sociaux
des réseaux sociaux,L’artiste
sociaux L’artiste,a
L’artiste a,décidé
a décidé,d’aller
décidé d’aller,plus
d’aller plus,loin dans sa
plus loin dans sa,démarche
loin dans sa démarche,et de mettre
démarche et de mettre,en vente
et de mettre en vente,des tirages
en vente des tirages,de l’affiche
des tirages de l’affiche,afin
de l’affiche afin,de
afin de,reverser
de  reverser,l’intégralité
reverser l’intégralité,des bénéfices
l’intégralité des bénéfices,aux fondations
des bénéfices aux fondations,et directions
aux fondations et directions,du
et directions du,mécénat
du mécénat,de divers
mécénat de divers,CHU
de divers CHU,de notre
CHU de notre,territoire
de notre territoire,en local
territoire en local,c’estàdire
en local c’estàdire,au plus
c’estàdire au plus,près des besoins
au plus près des besoins,des personnels
près des besoins des personnels,hospitaliers
des personnels hospitaliers,».
hospitaliers,Si
Si,vous
Si vous,voulez
vous voulez,contribuer
voulez contribuer,en achetant
contribuer en achetant,cette
en achetant cette,affiche
cette affiche,c’est
affiche c’est,par ici
Devant la situation,terrible
la situation terrible,que
terrible que,vivent
que vivent,les
vivent les,soignants
les soignants,nous
soignants nous,lançons
nous lançons,avec
lançons avec,sergeantpaper
avec sergeantpaper,une
sergeantpaper une,campagne
une campagne,Kissbankers
campagne Kissbankers,afin
Kissbankers afin,de récolter
afin de récolter,des fonds
de récolter des fonds,!
des fonds,https//bitly/3bFl1JH
Merci par avance,pour votre
par avance pour votre,soutien
pour votre soutien,!
Informations sur les,Publicités
sur les Publicités,Twitter
Publicités Twitter,et confidentialité
59 personnes,parlent
personnes parlent,à ce
parlent à ce,sujet
Les articles,qu’il
articles qu’il,ne
qu’il ne,fallait
ne fallait,pas
fallait pas,manquer
Reportage,A l’Ehpad
A l’Ehpad,des QuatreSaisons
A l’Ehpad des QuatreSaisons,la vie
des QuatreSaisons la vie,et la mort
la vie et la mort,au jour
et la mort au jour,le
au jour le,jour
Chronique,Le
Le,confinement
Le confinement,ça
confinement ça,ne
ça ne,mange
ne mange,pas
mange pas,de pain
pas de pain,vraiment
de pain vraiment,?
Témoignage,Alain
Alain,Domini
Alain Domini,berger
Domini berger,d’estive
berger d’estive,:
d’estive,En
En,montagne
En montagne,on
montagne on,se
on se,focalise
se focalise,sur le
focalise sur le,vivant
Et nos,recommandations
nos recommandations,:
Divertissement,Cinq
Cinq,séries
Cinq séries,comiques
séries comiques,pour alléger
comiques pour alléger,le
pour alléger le,confinement
Emplettes,Treize
Treize,sites
Treize sites,pour faire
sites pour faire,son
pour faire son,marché
son marché,en ligne
Sport,Quelle
Quelle,activité
Quelle activité,physique
activité physique,pour les
physique pour les,personnes
pour les personnes,âgées
personnes âgées,?
Parce qu’il,faut
qu’il faut,bien
faut bien,en rire
Calculez grâce à ce,test
grâce à ce test,hautement
test hautement,scientifique
hautement scientifique,à quel
scientifique à quel,moment
à quel moment,ce
moment ce,confinement
ce confinement,vous
confinement vous,fera
vous fera,péter
fera péter,une
péter une,durite
une durite,Chez
durite Chez,nous
Chez nous,ce
nous ce,sera
ce sera,le
sera le,6
le 6,mai
6 mai,:
mai,«
,Passée
Passée,l’euphorie
Passée l’euphorie,des premiers
l’euphorie des premiers,apérovisio
des premiers apérovisio,des applaudissements
apérovisio des applaudissements,sur le
des applaudissements sur le,balcon
sur le balcon,et des chambouletout
balcon et des chambouletout,de PQ
et des chambouletout de PQ,tu
de PQ tu,vas
tu vas,bientôt
vas bientôt,basculer
bientôt basculer,dans la quatrième
basculer dans la quatrième,dimension
dans la quatrième dimension,»
dimension,Sacrebleu
Notre coup,de cœur
Gabriel un,lecteur
un lecteur,de Luçon
lecteur de Luçon,en Vendée
de Luçon en Vendée,a
en Vendée a,entamé
a entamé,un
entamé un,voyage
un voyage,vers SaintJacquesdeCompostelle
voyage vers SaintJacquesdeCompostelle,à vélo
J’ai,décidé
J’ai décidé,de refaire
décidé de refaire,mon
de refaire mon,premier
mon premier,pèlerinage
premier pèlerinage,LuçonSantiago
pèlerinage LuçonSantiago,:
LuçonSantiago,1
1,400
1 400,km
J’ai enfilé,mon
enfilé mon,gilet
mon gilet,jaune
gilet jaune,mis
jaune mis,mon
mis mon,casque
mon casque,et enfourché
casque et enfourché,mon
et enfourché mon,vélo
mon vélo,d’appartement
vélo d’appartement,sur ma
d’appartement sur ma,terrasse
sur ma terrasse,J’ai
terrasse J’ai,bien
J’ai bien,sûr
bien sûr,ma
sûr ma,carte
ma carte,déployée
carte déployée,à côté
déployée à côté,de moi
à côté de moi,Chaque
de moi Chaque,jour
Chaque jour,scrupuleusement
jour scrupuleusement,je
scrupuleusement je,refais
je refais,le
refais le,trajet
le trajet,Ce
trajet Ce,soir
Ce soir,je
soir je,suis
je suis,à SaintAubindeBlaye
suis à SaintAubindeBlaye,et demain
à SaintAubindeBlaye et demain,je
et demain je,franchis
je franchis,la Gironde
franchis la Gironde,à Blaye
la Gironde à Blaye,Vous
à Blaye Vous,trouverez
Vous trouverez,une
trouverez une,photo
une photo,de mon
photo de mon,départ
de mon départ,»
On se,retrouve
se retrouve,demain
retrouve demain,matin
demain matin,à 10
matin à 10,heures
à 10 heures,sur le
heures sur le,«
sur le,direct
direct,»
direct,consacré
consacré,à
consacré à,nos
à  nos,vies
nos vies,confinées
vies confinées,».
Vous avez,rendezvous
avez rendezvous,avec
rendezvous avec,la chroniqueuse
avec la chroniqueuse,Maïa
la chroniqueuse Maïa,Mazaurette
Maïa Mazaurette,à 15
Mazaurette à 15,heures
à 15 heures,pour répondre
heures pour répondre,à toutes
vos questions,sur la sexualité
questions sur la sexualité,en temps
sur la sexualité en temps,de confinement
Terres agricoles,et eau
agricoles et eau,mobilisées
et eau mobilisées,pour rien
mobilisées pour rien,gaz
pour rien gaz,à effet
gaz à effet,de serre
à effet de serre,émis
de serre émis,en pure
émis en pure,perte
en pure perte,:
perte,environ
environ,13
environ 13,milliard
13 milliard,de tonnes
milliard de tonnes,de nourriture
de tonnes de nourriture,sont
de nourriture sont,jetées
sont jetées,ou
jetées ou,perdues
ou perdues,chaque
perdues chaque,année
chaque année,à l’échelle
année à l’échelle,mondiale
à l’échelle mondiale,Mais
mondiale Mais,selon que
Mais selon que,l’on
selon que l’on,est
l’on est,un
est un,pays
un pays,à faible
pays à faible,revenu
à faible revenu,ou
revenu ou,un
ou un,pays
un pays,riche
pays riche,la lutte
riche la lutte,contre ce
la lutte contre ce,fléau
contre ce fléau,qui
fléau qui,figure
qui figure,parmi les
figure parmi les,Objectifs
parmi les Objectifs,de développement
Objectifs de développement,durable
de développement durable,fixés
durable fixés,par les
fixés par les,Nations
par les Nations,unies
Nations unies,ONU
unies ONU,pour 2030
ONU pour 2030,ne
pour 2030 ne,poursuit
ne poursuit,pas
poursuit pas,les
pas les,mêmes
les mêmes,buts
mêmes buts,:
buts,pour les
pour les,uns
pour les uns,il
uns il,s’agit
il s’agit,d’assurer
s’agit d’assurer,la sécurité
d’assurer la sécurité,alimentaire
la sécurité alimentaire,de leurs
alimentaire de leurs,populations
de leurs populations,pour les
populations pour les,autres
pour les autres,de réduire
autres de réduire,l’empreinte
de réduire l’empreinte,environnementale
l’empreinte environnementale,de la chaîne
environnementale de la chaîne,alimentaire
Dans un,rapport
un rapport,publié
rapport publié,lundi
publié lundi,14
lundi 14,octobre
l’Organisation des Nations,unies
des Nations unies,pour l’agriculture
unies pour l’agriculture,et l’alimentation
pour l’agriculture et l’alimentation,FAO
et l’alimentation FAO,a
FAO a,cherché
a cherché,à identifier
cherché à identifier,où
et pourquoi la nourriture,est
la nourriture est,perdue
est perdue,afin
perdue afin,de proposer
afin de proposer,un
de proposer un,éventail
un éventail,de solutions
éventail de solutions,aux Etats
Comment,pouvonsnous
Comment pouvonsnous,nous
pouvonsnous nous,permettre
nous permettre,de jeter
permettre de jeter,de la nourriture
de jeter de la nourriture,lorsque
de la nourriture lorsque,chaque
lorsque chaque,jour
plus de 820,millions
de 820 millions,de personnes
millions de personnes,souffrent
de personnes souffrent,de la faim
souffrent de la faim,à travers
de la faim à travers,le
à travers le,monde
le monde,?
monde,»,
écrit Qu,Dongyu
Qu Dongyu,directeur
Dongyu directeur,général
directeur général,de la FAO
général de la FAO,en préambule
de la FAO en préambule,de cette
en préambule de cette,étude
de cette étude,publiée
étude publiée,à l’occasion
la Journée mondiale,de l’alimentation
mondiale de l’alimentation,le
de l’alimentation le,16
le 16,octobre
Jusqu’à présent,la FAO
présent la FAO,évaluait
la FAO évaluait,qu’un
évaluait qu’un,tiers
qu’un tiers,de la nourriture
tiers de la nourriture,produite
de la nourriture produite,dans le
produite dans le,monde
n’était pas,consommée
pas consommée,une
consommée une,estimation
une estimation,qui
estimation qui,remonte
qui remonte,à 2011
L’agence onusienne,a
onusienne a,cette
a cette,fois
cette fois,affiné
fois affiné,sa
affiné sa,méthodologie
sa méthodologie,pour distinguer
méthodologie pour distinguer,deux
pour distinguer deux,notions
deux notions,:
les pertes,alimentaires
pertes alimentaires,tout
alimentaires tout,ce
tout ce,qui
ce qui,est
qui est,perdu
est perdu,entre la récolte
perdu entre la récolte,et la vente
entre la récolte et la vente,au détail
pendant les étapes,de stockage
étapes de stockage,et de transport
de stockage et de transport,notamment
et de transport notamment,et le
notamment et le,gaspillage
et le gaspillage,qui
gaspillage qui,intervient
de la vente aux particuliers,et de la consommation
Selon les,calculs
les calculs,de la FAO
calculs de la FAO,14
de la FAO 14,%
14 %,de la nourriture
% de la nourriture,mondiale
de la nourriture mondiale,est
mondiale est,perdue
avant d’atteindre les,étals
les étals,de distribution
étals de distribution,En
de distribution En,revanche
En revanche,l’agence
revanche l’agence,ne
l’agence ne,donne
ne donne,pas
à ce stade,d’estimation
stade d’estimation,précise
d’estimation précise,du
précise du,gaspillage
du gaspillage,lors de la distribution
gaspillage lors de la distribution,et chez les
lors de la distribution et chez les,particuliers
et chez les particuliers,qui
particuliers qui,fera
qui fera,l’objet
fera l’objet,d’une
l’objet d’une,étude
d’une étude,séparée
étude séparée,par le
séparée par le,Programme
par le Programme,des Nations
Programme des Nations,unies
des Nations unies,pour l’environnement
La question,des pertes
question des pertes,alimentaires
des pertes alimentaires,affecte
alimentaires affecte,en premier
lieu les,pays
les pays,à faibles
pays à faibles,revenus
à faibles revenus,Mauvaises
revenus Mauvaises,infrastructures
Mauvaises infrastructures,manque
infrastructures manque,de connaissances
manque de connaissances,techniques
de moyens financiers,pour assurer
financiers pour assurer,un
pour assurer un,bon
un bon,stockage
bon stockage,des produits
stockage des produits,sont
des produits sont,notamment
sont notamment,en cause
La FAO,chiffre
FAO chiffre,ces
chiffre ces,pertes
ces pertes,à 400
pertes à 400,milliards
à 400 milliards,de dollars
milliards de dollars,360
de dollars 360,milliards
360 milliards,d’euros
milliards d’euros,:
d’euros,«
,C’est
C’est,un
C’est un,effort
un effort,de production
effort de production,et des dépenses
de production et des dépenses,encourues
et des dépenses encourues,par les
encourues par les,agriculteurs
par les agriculteurs,les
agriculteurs les,transporteurs
les transporteurs,et les
transporteurs et les,industriels
et les industriels,qui
industriels qui,n’aboutissent
qui n’aboutissent,pas
n’aboutissent pas,à une
pas à une,vente
à une vente,et donc
vente et donc,à un
et donc à un,revenu
à un revenu,»,
revenu,note
note,Carola
note Carola,Fabi
Carola Fabi,statisticienne
Fabi statisticienne,à la FAO
statisticienne à la FAO,Le
à la FAO Le,chiffre
Le chiffre,de 14
chiffre de 14,%
de 14 %,de pertes
% de pertes,n’englobe
de pertes n’englobe,pas
n’englobe pas,les
pas les,produits
les produits,alimentaires
produits alimentaires,non
alimentaires non,récoltés
non récoltés,du
récoltés du,fait
du fait,d’événements
fait d’événements,exceptionnels
d’événements exceptionnels,comme
exceptionnels comme,les
comme les,inondations
les inondations,le
inondations le,gel
le gel,ou
gel ou,autres
ou autres,aléas
autres aléas,climatiques
car le,pourcentage
le pourcentage,de pertes
pourcentage de pertes,se
de pertes se,rapporte
se rapporte,à la production
rapporte à la production,qui
à la production qui,se
qui se,calcule
se calcule,après la récolte
L’état de préparation,du
de préparation du,public
du public,et du
public et du,secteur
et du secteur,marchand
secteur marchand,en cas
de Brexit sans accord,reste
sans accord reste,faible
reste faible,en GrandeBretagne
faible en GrandeBretagne,selon des documents
en GrandeBretagne selon des documents,officiels
rendus publics,mercredi
publics mercredi,11
mercredi 11,septembre
11 septembre,La
septembre La,menace
La menace,d’encombrement
menace d’encombrement,des ports
d’encombrement des ports,est
des ports est,telle
est telle,qu’elle
pourrait provoquer,des pénuries
provoquer des pénuries,de médicaments
des pénuries de médicaments,et de nourriture
Les députés,britanniques
députés britanniques,avaient
britanniques avaient,voté
avaient voté,la semaine
voté la semaine,dernière
la semaine dernière,pour forcer
leur gouvernement,à publier
gouvernement à publier,les
à publier les,détails
les détails,de l’
détails de l’,Opération
de l’ Opération,Yellowhammer
Opération Yellowhammer,»,
le nom,de code
nom de code,des documents
de code des documents,gouvernementaux
des documents gouvernementaux,confidentiels
gouvernementaux confidentiels,datés
confidentiels datés,du
datés du,2
du 2,août
2 août,qui
août qui,précisent
les conséquences,d’un
conséquences d’un,nodeal
d’un nodeal,absence
nodeal absence,d’accord
absence d’accord,pour le
d’accord pour le,RoyaumeUni
pour le RoyaumeUni,au lendemain
RoyaumeUni au lendemain,du
au lendemain du,Brexit
prévu le,31
le 31,octobre
Une solution,non
solution non,viable
Dans la perspective,d’un
la perspective d’un,tel
d’un tel,scénario
tel scénario,les
scénario les,autorités
les autorités,britanniques
autorités britanniques,prévoient
britanniques prévoient,des perturbations
à court terme,dans 12
terme dans 12,domainesclés
dans 12 domainesclés,dont
domainesclés dont,l’approvisionnement
dont l’approvisionnement,en eau
l’approvisionnement en eau,et nourriture
la santé les,transports
les transports,et les
transports et les,frontières
et les frontières,ainsi
frontières ainsi,que
ainsi que,la possibilité
que la possibilité,de désordres
la possibilité de désordres,publics
Le projet,britannique
projet britannique,de suppression
britannique de suppression,des contrôles
de suppression des contrôles,à la frontière
des contrôles à la frontière,irlandaise
à la frontière irlandaise,«
irlandaise,s’avérerait
s’avérerait,probablement
s’avérerait probablement,non
probablement non,viable
non viable,en raison
viable en raison,d’importants
en raison d’importants,risques
d’importants risques,sur les
risques sur les,plans
sur les plans,économique
plans économique,juridique
économique juridique,et de biosécurité
juridique et de biosécurité,»,
et de biosécurité,selon ce
selon ce,document
selon ce document,qui
document qui,évoque
qui évoque,la possibilité
évoque la possibilité,de l’émergence
la possibilité de l’émergence,d’un
de l’émergence d’un,marché
d’un marché,noir
marché noir,dans les
noir dans les,communautés
dans les communautés,frontalières
Autre incidence,inquiétante
incidence inquiétante,d’un
inquiétante d’un,tel
d’un tel,scénario
tel scénario,:
scénario,le
le,manque
le manque,de produits
manque de produits,chimiques
de produits chimiques,pour le
chimiques pour le,retraitement
pour le retraitement,des eaux
retraitement des eaux,qui
des eaux qui,pourrait
qui pourrait,affecter
pourrait affecter,des
affecter des,centaines
des  centaines,de milliers
centaines de milliers,»
de milliers,de personnes
de personnes,précise
de personnes précise,le
précise le,rapport
le rapport,Celuici
rapport Celuici,évoque
Celuici évoque,en outre
évoque en outre,le
en outre le,risque
le risque,de ruptures
d’approvisionnement dans les,pharmacies
dans les pharmacies,et les
pharmacies et les,hôpitaux
et les hôpitaux,alors
hôpitaux alors,que
alors que,les
que les,«
les,trois
trois,quarts
trois quarts,»
des médicaments utilisés,dans le
utilisés dans le,pays
dans le pays,transitent
pays transitent,par le
transitent par le,tunnel
par le tunnel,sous la Manche
où les,embouteillages
les embouteillages,s’annoncent
embouteillages s’annoncent,considérables
Ces engorgements,pourraient
engorgements pourraient,durer
pourraient durer,au moins
durer au moins,trois
au moins trois,mois
trois mois,avant que
mois avant que,le
avant que le,trafic
le trafic,des camions
trafic des camions,s’améliore
des camions s’améliore,un
s’améliore un,peu
un peu,:
peu,il
il,ne
il ne,reprendrait
ne reprendrait,au mieux
reprendrait au mieux,début
au mieux début,2020
début 2020,qu’à
2020 qu’à,«
qu’à,40
40,à 60
40 à 60,%
à 60 %,de son
% de son,niveau
de son niveau,actuel
niveau actuel,».
actuel,En
En,effet
En effet,85
effet 85,%
85 %,des chauffeurs
% des chauffeurs,britanniques
des chauffeurs britanniques,ne
britanniques ne,seraient
ne seraient,pas
seraient pas,prêts
pas prêts,pour les
prêts pour les,contrôles
pour les contrôles,douaniers
contrôles douaniers,que
douaniers que,la France
que la France,mettra
la France mettra,en place
mettra en place,dès le
en place dès le,1er
dès le 1er,novembre
1er novembre,Les
novembre Les,retards
Les retards,à prévoir
retards à prévoir,à l’embarquement
à prévoir à l’embarquement,sur un
à l’embarquement sur un,ferry
sur un ferry,ou
ferry ou,au passage
ou au passage,de la Manche
au passage de la Manche,pourraient
de la Manche pourraient,atteindre
pourraient atteindre,deux
atteindre deux,jours
deux jours,et demi
jours et demi,pour un
et demi pour un,semiremorque
pour un semiremorque,britannique
L’état,de préparation
L’état de préparation,du
de préparation du,public
du public,et du
public et du,secteur
et du secteur,marchand
secteur marchand,(…)
marchand,restera
restera,faible
restera faible,(…)
faible,en raison
l’absence d’une,vision
d’une vision,claire
vision claire,sur la forme
claire sur la forme,de la sortie
sur la forme de la sortie,de l’Union
de la sortie de l’Union,européenne
de l’Union européenne,»,
selon les documents,Une
documents Une,partie
Une partie,de ces
partie de ces,documents
de ces documents,avaient
documents avaient,fuité
avaient fuité,dans l’hebdomadaire
fuité dans l’hebdomadaire,Sunday
dans l’hebdomadaire Sunday,Times
le 18,août
18 août,dernier
août dernier,suscitant
dernier suscitant,l’inquiétude
suscitant l’inquiétude,parmi la population
l’inquiétude parmi la population,britannique
Lire aussi,
aussi,Brexit
Brexit,:
Brexit,Si
Si,Boris
Si Boris,Johnson
Boris Johnson,ne
Johnson ne,demande
ne demande,pas
demande pas,un
pas un,report
un report,les
report les,conséquences
les conséquences,peuvent
conséquences peuvent,être
peuvent être,très
être très,graves
Possible augmentation,des désordres
augmentation des désordres,publics
Gibraltar pourrait,également
pourrait également,être
également être,affecté
être affecté,en raison
affecté en raison,de la mise
en place de contrôles,douaniers
de contrôles douaniers,à sa
douaniers à sa,frontière
à sa frontière,avec
frontière avec,l’Espagne
avec l’Espagne,Des
l’Espagne Des,accrochages
Des accrochages,pourraient
accrochages pourraient,également
pourraient également,éclater
également éclater,dans les
éclater dans les,zones
dans les zones,de pêche
zones de pêche,entre pêcheurs
de pêche entre pêcheurs,britanniques
entre pêcheurs britanniques,et étrangers
britanniques et étrangers,indique
et étrangers indique,le
indique le,rapport
le rapport,qui
rapport qui,met
qui met,aussi
met aussi,en garde
aussi en garde,contre
en garde contre,une
contre  une,possible
une possible,augmentation
possible augmentation,des désordres
augmentation des désordres,publics
des désordres publics,et des tensions
publics et des tensions,communautaires
et des tensions communautaires,».
Le gouvernement,a
gouvernement a,souligné
a souligné,qu’il
souligné qu’il,était
qu’il était,en train
était en train,de mettre
en train de mettre,à jour
de mettre à jour,le
à jour le,document
Il décrit,ce
décrit ce,qui
ce qui,pourrait
qui pourrait,se
pourrait se,passer
se passer,dans le
passer dans le,pire
dans le pire,des cas
pire des cas,a
des cas a,insisté
a insisté,le
insisté le,ministre
le ministre,chargé
ministre chargé,du
chargé du,Brexit
Mais ces,mises
ces mises,en garde
mises en garde,accroissent
en garde accroissent,la pression
accroissent la pression,sur le
la pression sur le,premier
sur le premier,ministre
Boris Johnson,qui
Johnson qui,a
qui a,promis
a promis,de mener
promis de mener,à bien
de mener à bien,le
à bien le,Brexit
le Brexit,d’ici
Brexit d’ici,le
d’ici le,31
le 31,octobre
31 octobre,avec
octobre avec,ou
avec ou,sans accord
avec l’Union,européenne
l’Union européenne,Il
européenne Il,a
Il a,essuyé
a essuyé,mercredi
